snd_id,city_portion,temp_city_group
15592,CNTR,W
47523,CNTR,S
5089,CNTR,N
42921,CNTR,S
49118,CNTR,S
48599,CNTR,S
42745,CNTR,W
42267,CNTR,W
28239,CNTR,SW
45368,CNTR,W
15681,CNTR,W
17736,CNTR,W
44816,CNTR,W
19243,CNTR,E
19373,CNTR,E
49117,CNTR,S
47501,CNTR,SW
47500,CNTR,SW
14100,CNTR,NE
13972,CNTR,NE
13995,CNTR,NE
42658,CNTR,E
45030,CNTR,SW
12714,CNTR,NE
15898,CNTR,W
44815,CNTR,W
15602,CNTR,W
31437,CNTR,S
31444,CNTR,S
15559,CNTR,W
48279,CNTR,W
15575,CNTR,W
15574,CNTR,W
15632,CNTR,W
15567,CNTR,W
49109,CNTR,S
50075,CNTR,SW
50076,CNTR,SW
50077,CNTR,SW
15666,CNTR,W
15572,CNTR,W
15742,CNTR,W
17734,CNTR,W
43140,CNTR,SW
17840,CNTR,W
47488,CNTR,SW
47482,CNTR,SW
47489,CNTR,SW
27282,CNTR,SW
49007,CNTR,N
19360,CNTR,E
19368,CNTR,E
19357,CNTR,E
19244,CNTR,E
19309,CNTR,E
19410,CNTR,E
33400,CNTR,S
19241,CNTR,E
19381,CNTR,E
49112,CNTR,S
49110,CNTR,S
49114,CNTR,S
31440,CNTR,S
49111,CNTR,S
49046,CNTR,SW
49557,CNTR,SW
49559,CNTR,SW
15678,CNTR,W
49218,CNTR,NE
15597,CNTR,W
15604,CNTR,W
49295,CNTR,S
48535,CNTR,NE
14204,CNTR,E
11489,CNTR,N
16480,CNTR,N
27107,CNTR,SW
38578,CNTR,S
42340,CNTR,SW
48292,CNTR,S
49355,CNTR,W
15577,CNTR,W
47524,CNTR,SW
47526,CNTR,SW
47521,CNTR,SW
47522,CNTR,SW
47528,CNTR,SW
33158,CNTR,S
48157,CNTR,S
32910,CNTR,S
49541,CNTR,N
49542,CNTR,N
49543,CNTR,N
48092,CNTR,S
10647,CNTR,NW
43765,CNTR,S
26972,CNTR,SW
10749,CNTR,NW
42256,CNTR,W
9687,CNTR,N
9712,CNTR,N
7781,CNTR,NE
45445,CNTR,SW
27356,CNTR,SW
15755,CNTR,W
15667,CNTR,W
15817,CNTR,W
15491,CNTR,W
15571,CNTR,W
45949,CNTR,W
15488,CNTR,W
15784,CNTR,W
15616,CNTR,W
15615,CNTR,W
15617,CNTR,W
15492,CNTR,W
15589,CNTR,W
15466,CNTR,W
21467,CNTR,S
48674,CNTR,W
15839,CNTR,W
48673,CNTR,W
15831,CNTR,W
15486,CNTR,W
15477,CNTR,W
15569,CNTR,W
15596,CNTR,W
15570,CNTR,W
15478,CNTR,W
15453,CNTR,W
38715,CNTR,S
50282,CNTR,NE
47551,CNTR,NE
50328,CNTR,NE
6631,CNTR,NE
6633,CNTR,NE
